,Unnamed: 0,id,song_title,artist,mp3,genre,votes,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
271,229,2xYQTU2bbg6WVAmpY1eae4,Always On My Mind,Willie Nelson,https://p.scdn.co/mp3-preview/2cbaf9ae6234d7973e88068143cf7b1a326f872b?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.524,0.261,2,-13.868,1,0.0272,0.755,0.00105,0.144,0.201,73.36,212667,4
272,230,5IprLrzGkKjvuheyDmKLq2,Tied One On,Jon Pardi,https://p.scdn.co/mp3-preview/47d4da9e636d324c62f541fa65f5a3031d62614b?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.45,0.9,2,-2.684,1,0.0894,0.0317,0.0,0.203,0.567,180.035,185191,4
273,231,1ezlX4PgUb9snszpVblLML,Forgot About You,Triston Marez,https://p.scdn.co/mp3-preview/23ee45d177aac845617278f39bbfa4003d825dd8?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.658,0.703,8,-5.362,1,0.0238,0.0446,0.0058,0.122,0.651,103.034,225712,4
274,232,1e7cEhr2dprxwtlRcSBfED,The Cowboy In Me - Yellowstone Edition,Tim McGraw,https://p.scdn.co/mp3-preview/cd20dfef55c5aa331c7a460d67444978790ba5e0?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.568,0.338,2,-10.244,1,0.0285,0.831,0.0,0.0961,0.323,137.792,217676,4
275,233,2zPIhmitmDGUjW1JQQ1PeG,Does Fort Worth Ever Cross Your Mind,George Strait,https://p.scdn.co/mp3-preview/2ae7574fd1e8176538b8d5befe81d068c3f3972c?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.747,0.415,0,-14.366,1,0.03,0.141,0.29,0.462,0.441,111.721,185040,4
276,234,5GDiNqMe76rDS5ZgPaI03R,Me and Bobby McGee,Kris Kristofferson,https://p.scdn.co/mp3-preview/2a6d32210e2b50f52702daa8c9b3bf13f3f6c55a?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.579,0.3,4,-13.39,1,0.0292,0.79,9.14e-06,0.188,0.594,133.429,260133,4
277,235,1cfi4ewXF9ifZ7it025zDK,Traveling Man,Zach Bryan,https://p.scdn.co/mp3-preview/32943568b1c17cbc03b232b22af00243de69558b?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.387,0.404,7,-6.381,1,0.0319,0.462,0.0,0.0799,0.285,168.289,197211,3
278,236,6QAxm6mkOsTaFldlg6Iken,Damn Darlin',49 Winchester,https://p.scdn.co/mp3-preview/96bc6bff849a8b96d6c8a8811023425acf12cae6?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.569,0.34,2,-9.943,1,0.0293,0.383,1.62e-05,0.111,0.242,140.228,199735,3
279,237,1bp2PcwZgR9LwBdoERsOuJ,Country Squire,Tyler Childers,https://p.scdn.co/mp3-preview/13e3d081d69030023dc538c24aee7fd0a00d77d1?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.508,0.725,9,-7.203,1,0.0398,0.524,2.65e-05,0.479,0.916,166.872,201427,4
280,238,6HsXpHn2s6S9arU3Wy7ndc,Whiskey’d My Way,Morgan Wallen,https://p.scdn.co/mp3-preview/bd5a82daf3757ada279d343fb0501825cf5e86b3?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.443,0.518,2,-6.373,1,0.0266,0.603,0.00225,0.0984,0.323,185.764,180787,3
281,239,2rjeRpzY5eKn2zZMwAfuod,A Thousand Miles from Nowhere,Dwight Yoakam,https://p.scdn.co/mp3-preview/9a45f7c70e1dd0c0d0db3c5e62ceb9d6efb5ce2c?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.601,0.831,0,-5.946,1,0.0283,0.00973,0.163,0.321,0.707,116.901,268386,4
282,240,2kZZq09uK0oR9wwYJvgacb,Paint Me a Birmingham,Tracy Lawrence,https://p.scdn.co/mp3-preview/b60d4c00264042f43d03492f4c5e224217791c5c?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.519,0.52,6,-4.547,1,0.03,0.0757,0.0,0.166,0.281,129.862,231053,4
283,241,1u7J5sEfgOVRt5bkfU2oGV,Keep The Wolves Away,Uncle Lucius,https://p.scdn.co/mp3-preview/22922b43d34bbab27058343bcefc54e0ce5fcaff?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.682,0.351,1,-10.276,0,0.0318,0.52,0.00059,0.11,0.144,122.207,275520,4
284,242,5QS8PNEWbqTEZyQ6e9ZbJf,Things A Man Oughta Know,Lainey Wilson,https://p.scdn.co/mp3-preview/2a36e07154a0ca4d0f174058ca5875a098853e5c?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.659,0.683,3,-5.623,1,0.0312,0.513,4.93e-06,0.133,0.397,139.931,203373,4
285,243,5QJQzE25BlcBVs7TNtF3qi,Oklahoma City,Zach Bryan,https://p.scdn.co/mp3-preview/754cc9ef40ae906a88a119537b8e5b3baf2abc43?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.578,0.448,5,-6.265,1,0.0358,0.398,0.0,0.13,0.352,120.67,240536,4
286,244,2lEihHqyRM7lq1YuxObnb0,Hour on the Hour,Mike and the Moonpies,https://p.scdn.co/mp3-preview/8b6ccaad567a30c7027be2ee53bac02f4bfd877f?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.463,0.88,5,-6.158,1,0.0358,0.0139,0.00184,0.185,0.79,164.04,269442,4
287,245,2lfBuEVBgvKLAkcypn68VD,Me And God,Josh Turner,https://p.scdn.co/mp3-preview/a10c83a23e8ca54f0d91ed48be9181c9b1616c4e?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.592,0.761,3,-6.212,1,0.0284,0.2,1.4e-05,0.146,0.861,153.362,179587,4
288,246,5PAuyhBNkrHp7NTHWjvF7V,Around Forever,Randall King,https://p.scdn.co/mp3-preview/8c6dc49d7f4bfa90c02196dabb3e539a3d9c5c4d?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.622,0.521,10,-8.311,1,0.0317,0.492,0.00513,0.12,0.478,72.002,225500,4
289,247,69HICMmc6nNLucAx3aJX9M,Thank God I'm a Country Boy,John Denver,https://p.scdn.co/mp3-preview/d30f44d506e4259401a3cf4774c18b8caefef3c8?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.762,0.537,9,-9.58,1,0.0478,0.785,0.000669,0.0551,0.958,105.603,193093,4
