,class,song_title,artist,id,mfcc0,mfcc1,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc2,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc3,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9
900,bluegrass,Dancing in the Moonlight,Yonder Mountain String Band,6IIhAAslHaT2mJtqRq3Dpi,-99.425575,128.5127,-10.9493265,9.765588,-7.436534,10.184982,-8.095355,10.290061,-9.916622,7.7808523,-10.9507,-2.523489,-10.489923,-5.2006383,5.5419416,-6.876834,2.0426943,-4.646689,-1.6368631,-3.01276,1.1714033,-4.3013616,1.831346,34.69929,-0.94521093,-4.5571194,-7.9354367,-3.9075596,-2.5523715,-0.2738394,-1.7916738,-3.6832817,-2.5243192,-1.7373857,-0.5747408,10.775152,-4.3535867,6.9427714,-18.638428,9.674472
901,bluegrass,The Heretic,Clyde and the Milltailers,3XwksAp7dHjpvg7IPGxCXf,-12.713497,108.30762,-11.181225,8.95037,-6.478358,11.43699,-6.0138035,9.300719,-2.7968726,12.48852,-7.6380243,5.432134,-11.150474,-6.9363556,1.2199644,-5.8491325,8.168348,3.3145895,3.0640135,-7.7678924,1.6794676,1.6804041,2.6864526,39.158825,-5.1834044,-0.8752609,-1.8247887,9.487369,7.7159595,7.348734,2.0497494,0.6859367,-1.5694566,-0.51626605,-4.685775,19.098936,-11.462914,10.676736,-13.623391,13.9782915
902,bluegrass,Mighty River,Railroad Earth,2pWLzxRYMR53uC95fRzJbe,-19.155619,107.05031,-9.468734,10.909789,-11.648716,6.2457414,-9.489778,5.443172,-9.216975,5.619996,-11.081758,5.2501163,-12.493891,-7.877824,1.986215,-8.004866,2.2984264,-5.315638,0.75254494,-11.277689,-6.6572914,-5.9677014,2.1795468,29.582182,-1.5470752,-1.6772884,-3.9279811,0.18971984,-3.7297177,-0.13567708,-2.1933656,-0.26817772,-5.7950797,-4.121472,-11.0668125,19.238323,-9.784214,12.765372,-16.239325,10.191969
903,bluegrass,"Choctaw Hayride - Live From The Louisville Palace, Kentucky / 2002",Alison Krauss & Union Station,4cBEspuS2ksy4Cgdb1GkpA,-80.857574,106.11355,-7.11912,14.60667,-11.684194,5.993299,-10.281014,8.458218,-7.8239875,11.906791,-3.2651534,6.856501,-7.5863714,-11.998934,1.0800259,-6.625216,0.95425403,-8.362201,-2.0632143,-7.6995106,0.17038417,0.503878,-0.2866216,27.09967,-11.580593,-1.1042433,-1.6493905,2.205204,-4.632015,-0.55207425,0.31954482,-1.9260751,-11.361943,-9.321233,-9.234679,16.38666,-11.80127,14.341035,-9.188671,21.646738
904,bluegrass,California,The Lil Smokies,106wS7RzQ57SwzGuWr6KtJ,-94.57538,130.36902,1.4745197,7.3056006,-2.8228598,8.272828,-9.398243,9.338198,-1.8772116,5.8750215,3.302389,-0.44405758,-13.175167,-5.7376757,0.019089784,-0.37982592,2.17322,-1.2776543,2.342904,-2.8405128,-0.71671903,1.8667208,1.5314858,39.826637,-4.6523566,-9.100102,-4.7977433,0.8852055,4.172336,2.1949303,-4.1493025,-5.3524027,-5.9970284,-3.527631,-12.542134,22.188503,-11.829726,12.579815,-7.8465853,7.3836184
905,bluegrass,Water's High and Rising,Pert Near Sandstone,2BILtHPNKX2fRaT2g9W9rI,-71.724144,120.33156,-12.184707,8.759009,-6.6214957,6.4868684,-8.390297,10.993731,-6.1608243,7.5609355,-6.1402025,2.6979637,-18.479029,-3.1576579,1.3794066,-1.2854129,1.1675636,-3.330144,-1.1277021,-3.6624706,0.75252086,-4.645108,-3.1126947,46.44964,-0.46618444,-1.7713143,-0.4890391,-0.8074853,-3.4301546,-2.8319683,-4.239192,-3.947095,1.19663,-4.4730387,-6.882003,23.881475,-4.1095114,18.744352,-12.122437,8.247222
906,bluegrass,Home,Trout Steak Revival,67K8rRz164aaev4jZe7WwD,-88.04245,147.61905,-9.484677,6.318474,-7.529217,5.973178,-4.7762313,6.500517,-3.814924,5.89755,-7.259418,-2.929453,-0.8286201,-5.3192453,-2.02991,-7.7493763,-6.153606,-4.58461,0.39724118,-1.5604414,3.9225333,2.6632295,-2.9739385,33.659916,-2.7398489,1.3550744,3.6167061,-2.024402,-4.624749,-4.765245,-3.8914163,-1.487218,-3.264629,-2.495975,-2.0403392,23.215277,-5.239774,10.793269,-10.388889,3.8570337
907,bluegrass,Long Way To Go,Railroad Earth,71aoPq0Cez3dtsSMXJHqXI,-38.106743,100.80623,-9.819245,8.987879,-13.066532,5.1045804,-7.4137745,4.164299,-9.337239,7.347151,-10.2169485,2.0922434,-13.200523,-6.3881617,2.1390727,-5.9562383,5.287928,-3.7629516,-0.1890517,-7.970969,-3.4877243,-3.6595886,6.4634123,36.83577,1.0207918,-1.4109049,-5.697494,-2.1232586,-0.14333586,2.86724,-1.1064245,-0.23317602,0.59579843,-2.5064173,-7.5323763,23.147509,-6.1031065,17.87891,-11.219509,14.823758
908,bluegrass,Call Of The Road,Doc Watson,67XAUZv4o1ut9THNit8G3H,-169.04492,136.32483,-20.78299,9.73686,-5.2527876,3.9014213,-8.076843,3.9764903,-12.007949,-4.926817,-4.343669,2.9029546,7.3808746,-10.226221,-3.8658016,-5.96802,-3.5038776,-0.66565895,1.3843507,-1.7288773,2.2852447,-5.6964803,-5.5970764,45.778282,-3.1482768,0.6182496,-0.44463152,-1.7360578,-4.424621,-6.047703,-5.46401,-4.7375965,-0.18470877,-1.9702753,0.4014852,22.735325,-0.6270535,7.6271253,-2.9589548,2.6350021
909,bluegrass,The Darker Side of Me,Otis Gibbs,4kYTpCV1XzT2Mun7roiUSv,-126.365105,135.60161,-6.922627,8.03854,-8.8618,6.823017,-2.278519,14.68836,-2.3526714,6.742212,-5.6194706,2.9617314,-10.42333,-3.2322774,3.4944713,-4.168082,-4.449246,-5.636074,-1.9719764,-3.9911714,3.1421893,2.2185814,0.7562266,27.293802,-4.1170764,-1.7493254,1.5877867,1.4520451,-2.4272513,-5.4898973,-6.056098,-3.5962229,-2.1792293,-0.7897618,-8.723728,15.09866,-6.5058193,8.26827,-7.967497,5.438288
